id,parent
01qz5mb56,01bj3aw27
01e41cf67,01bj3aw27
02jbv0t02,01bj3aw27
05gvnxz63,01bj3aw27
02ex6cf31,01bj3aw27
041nk4h53,01bj3aw27
00ty2a548,01bj3aw27
020hgte69,01bj3aw27
036266993,01bj3aw27
01h04ms65,01bj3aw27
05gzmn429,01bj3aw27
05vc7qy59,01bj3aw27
05h992307,01bj3aw27
04xm1d337,01bj3aw27
041m9xr71,01bj3aw27
03vn1ts68,01bj3aw27
01x26mz03,01bj3aw27
03ww55028,01bj3aw27
03q1rgc19,01bj3aw27
02xznz413,01bj3aw27
03sk1we31,01bj3aw27
05tj7dm33,01bj3aw27
04d8cf622,01bj3aw27
00mmn6b08,01bj3aw27
03ery9d53,01bj3aw27
033jmdj81,01bj3aw27
03rd4h240,01bj3aw27
0054t4769,01bj3aw27
03eecgp81,01bj3aw27
00heb4d89,01bj3aw27
05ek3m339,01bj3aw27
01ca2by25,01bj3aw27
00km40770,01bj3aw27
02ah1da87,01bj3aw27
05hhm9a98,01bj3aw27
05hsv7e61,01bj3aw27
01apwpt12,01bj3aw27
058m7ey48,01bj3aw27
01c9ay627,01bj3aw27
04z2gev20,01bj3aw27
02z1qvq09,01bj3aw27
03jf3w726,01bj3aw27
04848jz84,01bj3aw27
04s778r16,01bj3aw27
04nnxen11,01bj3aw27
05csy5p27,01bj3aw27
00qq8bd87,01bj3aw27
05277x335,01qz5mb56
03s53g630,01e41cf67
00f93gc02,02xznz413
0114b2m14,00mmn6b08
05mg91w61,00mmn6b08
02atag894,00mmn6b08
02n3j8t12,00mmn6b08
0012c7r22,00mmn6b08
031478740,00mmn6b08
grid.507522.7,00mmn6b08
grid.507523.6,00mmn6b08
