id,parent
00verxq29,059tqvg48
00hgmwb30,059tqvg48
019tvvb70,059tqvg48
01k8ec266,059tqvg48
00c6xwj41,059tqvg48
04rb38388,059tqvg48
01kga0z77,059tqvg48
01zavqc64,059tqvg48
051fr2332,059tqvg48
00wp2bj27,059tqvg48
0080yzn09,059tqvg48
047ax2108,059tqvg48
04ggfw624,059tqvg48
048tnm037,059tqvg48
05pcmd548,059tqvg48
01tyr1g37,038rjvd86
03q3a8095,038rjvd86
01a0xxp39,038rjvd86
03apz2q12,038rjvd86
01dg04253,038rjvd86
01mq8sh52,038rjvd86
027hwkg23,038rjvd86
05gbnpz65,038rjvd86
00gmz2d02,038rjvd86
01p3q4q56,038rjvd86
0489f0s93,038rjvd86
0277xgb12,038rjvd86
008ebms37,038rjvd86
01yq9ya27,038rjvd86
01pphqm45,038rjvd86
0009wsb17,038rjvd86
02mh2cd26,038rjvd86
00hqnxt08,038rjvd86
02a9vnt59,038rjvd86
05ermrg42,038rjvd86
0577sef82,038rjvd86
05snbjh64,038rjvd86
00ejeex29,038rjvd86
03nj29395,038rjvd86
03hg8g849,038rjvd86
05nb54h69,038rjvd86
02fsfnf94,038rjvd86
023r5tg35,038rjvd86
012a18r91,038rjvd86
048zssa22,038rjvd86
021kjh741,038rjvd86
006btmz82,038rjvd86
02x9fc857,038rjvd86
0362x2g28,038rjvd86
02cge6w61,038rjvd86
02ygqdd77,038rjvd86
045sc8e83,038rjvd86
04e09qg36,038rjvd86
035y1ap70,038rjvd86
05nyr7981,038rjvd86
039hpv827,038rjvd86
015y4fr56,038rjvd86
01ryjjz47,038rjvd86
05b9eba69,038rjvd86
0324qh176,038rjvd86
022rrvm68,0218eta95
057n4xq60,0218eta95
016hfp155,0218eta95
039ekp273,0218eta95
02vf4sk45,0218eta95
01ska0903,0218eta95
02ncvqp37,0218eta95
05bpnjz66,0218eta95
01qt3dj82,0218eta95
01jgbgc06,0554h7e84
01hz5c771,0554h7e84
00s1q1t70,0554h7e84
04tfjah29,0554h7e84
00n1e1p60,0554h7e84
010y19q47,0554h7e84
05m2n8847,0554h7e84
03b4ksy95,0554h7e84
056mrsz54,0554h7e84
012q2tk82,0554h7e84
056wf8856,0554h7e84
044ht0n88,0554h7e84
03snt1857,0554h7e84
01ds31v72,0554h7e84
054xffa50,0554h7e84
04w1wsw24,0554h7e84
00y1dzm96,0554h7e84
046msd355,0554h7e84
01rmxff98,0554h7e84
045xd0268,0554h7e84
009g8f974,0554h7e84
03jrs5v66,0554h7e84
0121whw78,0554h7e84
049pzbj60,0554h7e84
04x7sgz22,0554h7e84
0261qw820,0554h7e84
04kh9f807,0554h7e84
02f0cra24,0554h7e84
03f5ppt85,0554h7e84
03vqakm84,0554h7e84
01831n272,0554h7e84
03szme345,0554h7e84
011nbgj79,0554h7e84
04850rm18,0554h7e84
05qc18f66,0554h7e84
0305m4448,0554h7e84
05sbpak56,0554h7e84
05tpxpz56,0554h7e84
01ww2bg72,0554h7e84
04eqxyk73,0554h7e84
05961na22,0554h7e84
03ww91346,0554h7e84
01ygw1452,0554h7e84
01gqnz112,0554h7e84
03b1v3160,0554h7e84
05skghf24,0554h7e84
002vd5g50,0554h7e84
04we3tx21,0554h7e84
00g6nvj03,01twn9665
00wfve797,01twn9665
05kvjc571,01twn9665
02n937p61,01twn9665
005gbx671,01twn9665
03tx2pf91,01twn9665
02r4ram30,01twn9665
059dmrc35,01twn9665
01p8wcy85,01twn9665
05a33r812,01twn9665
02mx1ea71,01twn9665
03ck95c19,01twn9665
04jqmw447,021eek248
02a5hqa58,021eek248
00gprdj76,021eek248
033px5146,02ae4g054
056635736,02ae4g054
020frqf17,02ae4g054
02e1eph40,02ae4g054
05nb4x016,02ae4g054
05gmwtd57,02ae4g054
04f3vpm64,02ae4g054
00je00x55,02ae4g054
05m3tag45,02ae4g054
04ef8pm25,02ae4g054
028a8bc58,02ae4g054
02e2pmn45,02ae4g054
02bc50c05,02ae4g054
02qpqb855,02ae4g054
0266a1t84,02ae4g054
02s6ww326,02ae4g054
00tnkbn59,02ae4g054
05ct5rw58,02ae4g054
00z0g8n94,02ae4g054
04xnqnd94,02ae4g054
04wbz7w60,02ae4g054
020e8vq13,02ae4g054
03dhz7247,019zcmj26
017pcqs43,019zcmj26
02t1t6n83,019zcmj26
040wrkp27,019zcmj26
01sb2fs58,019zcmj26
03bk73w20,019zcmj26
041471c24,019zcmj26
05gf3n961,019zcmj26
029k7k053,019zcmj26
0344x6030,019zcmj26
026md7341,019zcmj26
04rawk951,019zcmj26
051f11n17,019zcmj26
01gk2wz65,019zcmj26
049317064,019zcmj26
056an8658,019zcmj26
044171329,019zcmj26
008cjy335,019zcmj26
01w84qj32,019zcmj26
05pc7fv53,019zcmj26
03jmc9t23,019zcmj26
055csed06,019zcmj26
01b3qhp76,019zcmj26
04z8mkz77,019zcmj26
05ssfag15,019zcmj26
01n0q6e38,019zcmj26
