title,notation,label
2303.21-Organo-metallic compounds ,2303.21,Organo-metallic compounds 
2303.22-Phosphorous compounds,2303.22,Phosphorous compounds
2303.23-Pigments chemistry,2303.23,Pigments chemistry
2303.24-Rare earths,2303.24,Rare earths
2303.25-Sodium compounds,2303.25,Sodium compounds
2303.26-Structure of inorganic compounds,2303.26,Structure of inorganic compounds
2303.27-Sulfur compounds,2303.27,Sulfur compounds
2303.28-Synthetic elements,2303.28,Synthetic elements
2303.29-Transition elements,2303.29,Transition elements
2303.30-Transuranic elements,2303.30,Transuranic elements
2303.31-Water chemistry ,2303.31,Water chemistry 
2303.99-Other (specify),2303.99,Other (specify)
2304.01-Cellular plastics,2304.01,Cellular plastics
2304.02-Cellulose,2304.02,Cellulose
2304.03-Composites polymers,2304.03,Composites polymers
2304.04-Elastomers,2304.04,Elastomers
2304.05-Gums,2304.05,Gums
2304.06-High polymers,2304.06,High polymers
2304.07-Inorganic polymers,2304.07,Inorganic polymers
2304.08-Macromolecules,2304.08,Macromolecules
2304.09-Modification of macromolecules,2304.09,Modification of macromolecules
2304.10-Monomers chemistry,2304.10,Monomers chemistry
2304.11-Natural fibers,2304.11,Natural fibers
2304.12-Network polymers,2304.12,Network polymers
2304.13-Polyelectrolytes,2304.13,Polyelectrolytes
2304.14-Polyesters,2304.14,Polyesters
2304.15-Polyethylene,2304.15,Polyethylene
2304.16-Polymer analysis ,2304.16,Polymer analysis 
2304.17-Polymer in dispersed form,2304.17,Polymer in dispersed form
2304.18-Polypeptides and proteins ,2304.18,Polypeptides and proteins 
2304.19-Polysaccharides ,2304.19,Polysaccharides 
2304.20-Polystyrene,2304.20,Polystyrene
2304.21-Polyurethanes,2304.21,Polyurethanes
2304.22-Stability of macromolecules,2304.22,Stability of macromolecules
2304.23-Synthesis of macromolecules,2304.23,Synthesis of macromolecules
2304.24-Synthetic fibres ,2304.24,Synthetic fibres 
2304.99-Other (specify),2304.99,Other (specify)
2305.01-Hot atoms chemistry,2305.01,Hot atoms chemistry
2305.02-Isotope tracers,2305.02,Isotope tracers
2305.03-Marked molecules,2305.03,Marked molecules
2305.04-Radiation chemistry,2305.04,Radiation chemistry
2305.05-Radiochemistry,2305.05,Radiochemistry
2305.06-Radioisotopes ,2305.06,Radioisotopes 
2305.07-Separation of isotopes ,2305.07,Separation of isotopes 
2305.99-Other (specify),2305.99,Other (specify)
2306.01-Aliphatic hydrocarbons,2306.01,Aliphatic hydrocarbons
2306.02-Aromatic hydrocarbons,2306.02,Aromatic hydrocarbons
2306.03-benzene derivatives,2306.03,benzene derivatives
2306.04-Bicyclic chemistry,2306.04,Bicyclic chemistry
2306.05-Carbanion chemistry,2306.05,Carbanion chemistry
2306.06-Carbohydrates chemistry ,2306.06,Carbohydrates chemistry 
2306.07-Carbonium chemistry,2306.07,Carbonium chemistry
2306.08-Dyestuff chemistry ,2306.08,Dyestuff chemistry 
2306.09-Free radicals ,2306.09,Free radicals 
2306.10-Heterocyclic compounds,2306.10,Heterocyclic compounds
2306.11-Organometallic,2306.11,Organometallic
2306.12-Organophosphorus chemistry,2306.12,Organophosphorus chemistry
2306.13-Organosilicon chemistry,2306.13,Organosilicon chemistry
2306.14-Organosulfur chemistry,2306.14,Organosulfur chemistry
2306.15-Reaction Mechanisms,2306.15,Reaction Mechanisms
2306.16-Stereochemistry and conformational analysis,2306.16,Stereochemistry and conformational analysis
2306.17-Steroids chemistry ,2306.17,Steroids chemistry 
2306.18-Structure of organic molecules,2306.18,Structure of organic molecules
2306.90-Organic natural products chemistry,2306.90,Organic natural products chemistry
2306.91-Organic chemistry. Instrumental analysis,2306.91,Organic chemistry. Instrumental analysis
2306.99-Other (specify),2306.99,Other (specify)
"2390.01-Design, synthesis and study of new drugs",2390.01,"Design, synthesis and study of new drugs"
2401.01-Animal anatomy ,2401.01,Animal anatomy 
2401.02-Animal behaviour,2401.02,Animal behaviour
2401.03-Animal communication,2401.03,Animal communication
2401.04-Animal cytology,2401.04,Animal cytology
2401.05-Animal development,2401.05,Animal development
2401.06-Animal ecology,2401.06,Animal ecology
2401.07-Animal embryology,2401.07,Animal embryology
2401.08-Animal genetics ,2401.08,Animal genetics 
2401.09-Animal growth,2401.09,Animal growth
2401.10-Animal histology,2401.10,Animal histology
2401.11-Animal pathology ,2401.11,Animal pathology 
2401.12-Animal parasitology,2401.12,Animal parasitology
2401.13-Animal physiology,2401.13,Animal physiology
2401.14-Animal Taxonomy,2401.14,Animal Taxonomy
2401.15-General Zoology,2401.15,General Zoology
2401.16-Herpetology,2401.16,Herpetology
2401.17-Invertebrates,2401.17,Invertebrates
2401.18-Mammology,2401.18,Mammology
2401.19-Marine zoology ,2401.19,Marine zoology 
2401.20-Ornithology,2401.20,Ornithology
2401.21-Primatology ,2401.21,Primatology 
2401.22-Protozoology,2401.22,Protozoology
2401.23-Vertebrates,2401.23,Vertebrates
2401.90-Zoology: letiology,2401.90,Zoology: letiology
2401.91-Non-insect invertebrates,2401.91,Non-insect invertebrates
2401.99-Other (specify),2401.99,Other (specify)
2402.01-Anthropological archives,2402.01,Anthropological archives
2402.02-Anthropological genetics ,2402.02,Anthropological genetics 
2402.03-Anthropometry and forensic anthropology,2402.03,Anthropometry and forensic anthropology
2402.04-Body composition,2402.04,Body composition
2402.05-Body constitution,2402.05,Body constitution
2402.06-Ethnology,2402.06,Ethnology
2402.07-Medical anthropology,2402.07,Medical anthropology
2402.08-Nutritional habits,2402.08,Nutritional habits
2402.09-Osteology,2402.09,Osteology
2402.10-Population biology ,2402.10,Population biology 
2402.11-Primate behavior ,2402.11,Primate behavior 
2402.12-Primate somatology ,2402.12,Primate somatology 
2402.13-Racial biology ,2402.13,Racial biology 
2402.14-Somatic growth,2402.14,Somatic growth
2402.15-Somatic ageing,2402.15,Somatic ageing
2402.99-Other (specify),2402.99,Other (specify)
2404.01-Biostatistics,2404.01,Biostatistics
2404.99-Other (specify),2404.99,Other (specify)
2406.01-Bioacoustics,2406.01,Bioacoustics
2406.02-Bioelectricity,2406.02,Bioelectricity
2406.03-Bioenergetics,2406.03,Bioenergetics
2406.04-Bio-mechanics,2406.04,Bio-mechanics
2406.05-Bio-optics,2406.05,Bio-optics
2406.06-Medical physics,2406.06,Medical physics
2406.99-Other (specify),2406.99,Other (specify)
2407.01-Cell culture,2407.01,Cell culture
2407.02-Cell genetics,2407.02,Cell genetics
2407.03-Cell morphology,2407.03,Cell morphology
2407.04-Cytology,2407.04,Cytology
2407.05-Tissueculture,2407.05,Tissueculture
2407.90-Wall cell structure,2407.90,Wall cell structure
2407.99-Other (specify),2407.99,Other (specify)
2408.01-Animal,2408.01,Animal
2408.02-Human ,2408.02,Human 
2408.03-Insects ,2408.03,Insects 
2408.99-Other (specify),2408.99,Other (specify)
2409.01-Embryology,2409.01,Embryology
2409.02-Genetic engineering,2409.02,Genetic engineering
2409.03-Population genetics ,2409.03,Population genetics 
2409.90-Animal citogenetics,2409.90,Animal citogenetics
2409.91-Genetic development,2409.91,Genetic development
2409.92-Plant molecular genetics,2409.92,Plant molecular genetics
2409.99-Other (specify),2409.99,Other (specify)
2410.01-Blood groups,2410.01,Blood groups
2410.02-Human anatomy,2410.02,Human anatomy
2410.03-Human cytology,2410.03,Human cytology
2410.04-Human development,2410.04,Human development
2410.05-Human ecology,2410.05,Human ecology
2410.06-Human embryology,2410.06,Human embryology
2410.07-Human genetics,2410.07,Human genetics
2410.08-Human histology,2410.08,Human histology
2410.09-Human neuro-anatomy,2410.09,Human neuro-anatomy
2410.10-Human physiology ,2410.10,Human physiology 
2410.11-Sensory organs,2410.11,Sensory organs
2410.12-Systemic anatomy,2410.12,Systemic anatomy
2410.13-Topographic anatomy,2410.13,Topographic anatomy
2410.99-Other (specify),2410.99,Other (specify)
2411.01-Attitude physiology,2411.01,Attitude physiology
2411.02-Anesthesiology,2411.02,Anesthesiology
2411.03-Cardio-vascular physiology,2411.03,Cardio-vascular physiology
2411.04-Endocrine physiology,2411.04,Endocrine physiology
2411.05-Enviromental physiology,2411.05,Enviromental physiology
2411.06-Exercise physiology,2411.06,Exercise physiology
2411.07-Gastro-intestinal physiology,2411.07,Gastro-intestinal physiology
2411.08-Human metabolisms,2411.08,Human metabolisms
2411.09-Human temperature regulation,2411.09,Human temperature regulation
2411.10-Muscle physiology,2411.10,Muscle physiology
2411.11-Neurophysiology,2411.11,Neurophysiology
2411.12-Physiology of the central nervous system,2411.12,Physiology of the central nervous system
2411.13-Physiology of hearing ,2411.13,Physiology of hearing 
2411.14-Physiology of speech ,2411.14,Physiology of speech 
2411.15-Physiology of vision ,2411.15,Physiology of vision 
2411.16-Reproduction physiology,2411.16,Reproduction physiology
2411.17-Respiration physiology,2411.17,Respiration physiology
2411.18-Transport physiology,2411.18,Transport physiology
2411.99-Other (specify),2411.99,Other (specify)
2412.01-Antigens,2412.01,Antigens
2412.02-Antibodies,2412.02,Antibodies
2412.03-Antigen-antibody reaction,2412.03,Antigen-antibody reaction
2412.04-Antibody formation,2412.04,Antibody formation
2412.05-Hypersensitivity,2412.05,Hypersensitivity
2412.06-Immunisation,2412.06,Immunisation
2412.07-Immunochemistry ,2412.07,Immunochemistry 
2412.08-Organ transplantation,2412.08,Organ transplantation
2412.09-Tissue antibodies,2412.09,Tissue antibodies
2412.10-Vaccines,2412.10,Vaccines
2412.99-Other (specify),2412.99,Other (specify)
2413.01-General entomology,2413.01,General entomology
2413.02-Insect development ,2413.02,Insect development 
2413.03-Insect ecology,2413.03,Insect ecology
2413.04-Insect morphology,2413.04,Insect morphology
2413.05-Insect physiology,2413.05,Insect physiology
2413.06-Insect taxonomy,2413.06,Insect taxonomy
2413.99-Other (specify),2413.99,Other (specify)
2414.01-Antibiotics ,2414.01,Antibiotics 
2414.02-Bacterial physiology,2414.02,Bacterial physiology
2414.03-bacterial metabolism,2414.03,bacterial metabolism
2414.04-Bacteriology,2414.04,Bacteriology
2414.05-Bacteriophage,2414.05,Bacteriophage
2414.06-Fungi ,2414.06,Fungi 
2414.07-Microbial Metabolism,2414.07,Microbial Metabolism
2414.08-Microbial processes ,2414.08,Microbial processes 
2414.09-Molds,2414.09,Molds
2414.10-Mycology (Yeast),2414.10,Mycology (Yeast)
2414.90-Microbiology: Vegetal residues degradation,2414.90,Microbiology: Vegetal residues degradation
2414.99-Other (specify),2414.99,Other (specify)
2415.01-Molecular biology of microorganisms,2415.01,Molecular biology of microorganisms
2415.02-Plant Molecular Biology,2415.02,Plant Molecular Biology
2416.01-Animal palaentology,2416.01,Animal palaentology
2416.02-invertebrate paleontology,2416.02,invertebrate paleontology
2416.03-Palinology,2416.03,Palinology
2416.04-Plant palaeontology ,2416.04,Plant palaeontology 
2416.05-Vertebrate palaeontology,2416.05,Vertebrate palaeontology
2416.99-Other (specify),2416.99,Other (specify)
2417.01-Bryology,2417.01,Bryology
2417.02-Dendrology,2417.02,Dendrology
2417.03-General botany,2417.03,General botany
2417.04-Limnology,2417.04,Limnology
2417.05-Marine biology ,2417.05,Marine biology 
2417.06-Mycology (mushrooms),2417.06,Mycology (mushrooms)
2417.07-Phycology,2417.07,Phycology
2417.08-Phytobiology,2417.08,Phytobiology
2417.09-Phytopathology ,2417.09,Phytopathology 
2417.10-Paleobotany ,2417.10,Paleobotany 
2417.11-Plant anatomy,2417.11,Plant anatomy
2417.12-Plant cytology,2417.12,Plant cytology
2417.13-Plant ecology,2417.13,Plant ecology
2417.14-Plant genetics,2417.14,Plant genetics
2417.15-Development growth ,2417.15,Development growth 
2417.16-Plant histology,2417.16,Plant histology
2417.17-Plant nutrition,2417.17,Plant nutrition
2417.18-Plant parasitology,2417.18,Plant parasitology
2417.19-Plant physiology,2417.19,Plant physiology
2417.20-Plant taxonomy,2417.20,Plant taxonomy
2417.21-Pteridology,2417.21,Pteridology
2417.90-Biological nutrient fixation and mobilization,2417.90,Biological nutrient fixation and mobilization
2417.91-Biological nitrogen fixation,2417.91,Biological nitrogen fixation
2417.92-Ripening physiology,2417.92,Ripening physiology
2417.99-Other (specify),2417.99,Other (specify)
2420.01-Arbor viruses,2420.01,Arbor viruses
2420.02-Bacteriophages ,2420.02,Bacteriophages 
2420.03-Dermatropic viruses,2420.03,Dermatropic viruses
2420.04-Enteric viruses,2420.04,Enteric viruses
2420.05-Neurotropic viruses,2420.05,Neurotropic viruses
2420.06-Pantropic viruses,2420.06,Pantropic viruses
2420.07-Pox viruses,2420.07,Pox viruses
2420.08-Respiratory viruses,2420.08,Respiratory viruses
2420.09-Viscerotropic viruses,2420.09,Viscerotropic viruses
2420.91-Animal virology,2420.91,Animal virology
2420.99-Other (specify),2420.99,Other (specify)
2490.01-Neurophysiology,2490.01,Neurophysiology
2490.02-Neurochemistry,2490.02,Neurochemistry
2501.01-Aeronomy,2501.01,Aeronomy
2501.02-Airglow,2501.02,Airglow
2501.03-Air-sea interaction ,2501.03,Air-sea interaction 
2501.04-Atmospheric acoustics ,2501.04,Atmospheric acoustics 
2501.05-atmospheric chemistry,2501.05,atmospheric chemistry
2501.06-Atmospheric dynamics,2501.06,Atmospheric dynamics
2501.07-Atmospheric electricity,2501.07,Atmospheric electricity
2501.08-Atmospheric optics ,2501.08,Atmospheric optics 
2501.09-Atmospheric radioactivity ,2501.09,Atmospheric radioactivity 
2501.10-Atmospheric structure,2501.10,Atmospheric structure
2501.11-atmospheric thermodynamics,2501.11,atmospheric thermodynamics
2501.12-Atmospheric turbulence,2501.12,Atmospheric turbulence
2501.13-Aurora,2501.13,Aurora
2501.14-Cloud physics,2501.14,Cloud physics
2501.15-Cosmic rays ,2501.15,Cosmic rays 
2501.16-Dissemination (atmospheric),2501.16,Dissemination (atmospheric)
2501.17-Geomagnetic pulsations,2501.17,Geomagnetic pulsations
2501.18-Ionosphere,2501.18,Ionosphere
2501.19-Magnetospheric particles,2501.19,Magnetospheric particles
2501.20-Magnetospheric waves,2501.20,Magnetospheric waves
2501.21-Numerical modelling,2501.21,Numerical modelling
2501.22-Precipitation physics,2501.22,Precipitation physics
2501.23-Radioactive transfer,2501.23,Radioactive transfer
2501.24-Solar wind,2501.24,Solar wind
2501.99-Other (specify),2501.99,Other (specify)
2502.01-Analytical climatology,2502.01,Analytical climatology
2502.02-Applied climatology,2502.02,Applied climatology
2502.03-Bioclimatology,2502.03,Bioclimatology
2502.04-Microclimatology,2502.04,Microclimatology
2502.05-Paleoclimatology,2502.05,Paleoclimatology
2502.06-Physical climatology,2502.06,Physical climatology
2502.07-Regional climatology,2502.07,Regional climatology
2502.99-Other (specify),2502.99,Other (specify)
2503.01-Cosmochemistry ,2503.01,Cosmochemistry 
2503.02-Experimental petrology,2503.02,Experimental petrology
2503.03-Exploration geochemistry,2503.03,Exploration geochemistry
2503.04-Geochronology and radio isotope,2503.04,Geochronology and radio isotope
2503.05-High temperature geochemistry,2503.05,High temperature geochemistry
2503.06-Low temperatures geochemistry,2503.06,Low temperatures geochemistry
2503.07-Organic geochemistry,2503.07,Organic geochemistry
2503.08-Stable isotopes,2503.08,Stable isotopes
2503.09-Trace elements distribution,2503.09,Trace elements distribution
2503.99-Other (specify),2503.99,Other (specify)
2504.01-Geodesic astronomy ,2504.01,Geodesic astronomy 
2504.02-Geodesic cartography,2504.02,Geodesic cartography
2504.03-Geodesic navigation,2504.03,Geodesic navigation
2504.04-Geodesic photogrammetry,2504.04,Geodesic photogrammetry
2504.05-Geodetic surveying,2504.05,Geodetic surveying
2504.06-Physical geodesy,2504.06,Physical geodesy
2504.07-Satellite geodesy ,2504.07,Satellite geodesy 
2504.08-Theoretical geodesy,2504.08,Theoretical geodesy
2504.99-Other (specify),2504.99,Other (specify)
2505.01-Biogeography ,2505.01,Biogeography 
2505.02-Geographical cartography,2505.02,Geographical cartography
2505.03-Geography of natural resources,2505.03,Geography of natural resources
2505.04-Land utilization ,2505.04,Land utilization 
2505.05-Location theory,2505.05,Location theory
2505.06-Medical geography,2505.06,Medical geography
2505.07-Physical geography,2505.07,Physical geography
2505.08-Topographic geography,2505.08,Topographic geography
2505.99-Other (specify),2505.99,Other (specify)
2506.01-Areal geology,2506.01,Areal geology
2506.02-Coal geologi ,2506.02,Coal geologi 
2506.03-Engineering geology,2506.03,Engineering geology
2506.04-Environmental geology,2506.04,Environmental geology
2506.05-Geohydrology ,2506.05,Geohydrology 
2506.06-Geological surveys,2506.06,Geological surveys
2506.07-Geomorphology,2506.07,Geomorphology
2506.08-Geothermal processes and energy ,2506.08,Geothermal processes and energy 
2506.09-Glacial geology ,2506.09,Glacial geology 
2506.10-Mineral deposits,2506.10,Mineral deposits
2506.11-Mineralogy,2506.11,Mineralogy
2506.12-Petroleum geology ,2506.12,Petroleum geology 
"2506.13-Petrology, igneous and metamorphic",2506.13,"Petrology, igneous and metamorphic"
"2506.14-Petrology, sedimentary",2506.14,"Petrology, sedimentary"
2506.15-Photogeology,2506.15,Photogeology
2506.16-Remote sensing (geology),2506.16,Remote sensing (geology)
2506.17-Rock mechanisms,2506.17,Rock mechanisms
2506.18-Sedimentology,2506.18,Sedimentology
2506.19-Stratigraphy ,2506.19,Stratigraphy 
2506.20-Structural geology,2506.20,Structural geology
2506.21-Volcanology,2506.21,Volcanology
2506.22-Well log analysis,2506.22,Well log analysis
2506.99-Other (specify),2506.99,Other (specify)
2507.01-Geomagnetism and magnetic explotarion,2507.01,Geomagnetism and magnetic explotarion
2507.02-Gravity (earth) and gravity exploration ,2507.02,Gravity (earth) and gravity exploration 
2507.03-Heat flow (earth),2507.03,Heat flow (earth)
2507.04-Paleomagnetism,2507.04,Paleomagnetism
2507.05-Seismology and seismic exploration,2507.05,Seismology and seismic exploration
2507.06-Solid-earth and geophysics,2507.06,Solid-earth and geophysics
2507.07-Tectonics,2507.07,Tectonics
2507.99-Other (specify),2507.99,Other (specify)
2508.01-Erosion (water),2508.01,Erosion (water)
2508.02-Evaporation,2508.02,Evaporation
2508.03-Glaciology ,2508.03,Glaciology 
2508.04-Groundwater,2508.04,Groundwater
2508.05-Hydrobiology,2508.05,Hydrobiology
2508.06-Hydrography,2508.06,Hydrography
2508.07-Ice ,2508.07,Ice 
2508.08-Limnology,2508.08,Limnology
2508.09-Permafrost,2508.09,Permafrost
2508.10-Precipitation,2508.10,Precipitation
2508.11-Quality of water ,2508.11,Quality of water 
2508.12-Snow,2508.12,Snow
2508.13-Soil moisture,2508.13,Soil moisture
2508.14-Surface waters,2508.14,Surface waters
2508.15-Transpiration,2508.15,Transpiration
2508.99-Other (specify),2508.99,Other (specify)
2509.01-Agricultural mMeteorology,2509.01,Agricultural mMeteorology
2509.02-Air pollution ,2509.02,Air pollution 
2509.03-Extended weather forecasting,2509.03,Extended weather forecasting
2509.04-Hydrometeorology ,2509.04,Hydrometeorology 
2509.05-Industrial meteorology,2509.05,Industrial meteorology
2509.06-Marine meteorology ,2509.06,Marine meteorology 
2509.07-Mesometeorología,2509.07,Mesometeorología
2509.08-Micrometeorology,2509.08,Micrometeorology
2509.09-Numerical weather prediction,2509.09,Numerical weather prediction
2509.10-Observation briefing (weather),2509.10,Observation briefing (weather)
2509.11-Operational forecasting (weather),2509.11,Operational forecasting (weather)
2509.12-Polar meteorology,2509.12,Polar meteorology
2509.13-Radar meteorology,2509.13,Radar meteorology
2509.14-Radio meteorology,2509.14,Radio meteorology
2509.15-Rocket meteorology,2509.15,Rocket meteorology
2509.16-Satellite meteorology ,2509.16,Satellite meteorology 
2509.17-Synoptic meteorology,2509.17,Synoptic meteorology
2509.18-Tropical meteorology,2509.18,Tropical meteorology
2509.19-Weather analysis,2509.19,Weather analysis
2509.20-Weather modification,2509.20,Weather modification
2509.99-Other (specify),2509.99,Other (specify)
2510.01-Biological oceanography,2510.01,Biological oceanography
2510.02-Chemical oceanography,2510.02,Chemical oceanography
2510.03-Descriptive oceanography,2510.03,Descriptive oceanography
2510.04-Marine botany ,2510.04,Marine botany 
2510.05-Marine zoology ,2510.05,Marine zoology 
2510.06-Ocean-bottom processes ,2510.06,Ocean-bottom processes 
2510.07-Physical oceanography ,2510.07,Physical oceanography 
2510.08-Sea-air interactions ,2510.08,Sea-air interactions 
2510.09-Sea ice ,2510.09,Sea ice 
2510.10-Shore and near-shore processes,2510.10,Shore and near-shore processes
2510.11-Underwater sounds,2510.11,Underwater sounds
2510.90-Marine Geology (oceanography),2510.90,Marine Geology (oceanography)
2510.91-Renewable resources (oceanography),2510.91,Renewable resources (oceanography)
2510.92-Marine aquaculture (oceanography),2510.92,Marine aquaculture (oceanography)
2510.99-Other (specify),2510.99,Other (specify)
2511.01-Soil biochemistry,2511.01,Soil biochemistry
2511.02-Soil biology,2511.02,Soil biology
2511.03-soil cartography,2511.03,soil cartography
2511.04-Soil chemistry,2511.04,Soil chemistry
2511.05-Soil classification,2511.05,Soil classification
2511.06-Soil xonservation,2511.06,Soil xonservation
2511.07-Soil engineering,2511.07,Soil engineering
2511.08-Soil mechanics (agriculture),2511.08,Soil mechanics (agriculture)
2511.09-Soil microbiology,2511.09,Soil microbiology
2511.10-Soil mineralogy,2511.10,Soil mineralogy
2511.11-Soil morphology and genesis,2511.11,Soil morphology and genesis
2511.12-Soil physics,2511.12,Soil physics
2511.99-Other (specify),2511.99,Other (specify)
2512.01-Exobiology,2512.01,Exobiology
2512.02-Space medicine,2512.02,Space medicine
2512.03-Space physiology ,2512.03,Space physiology 
2512.99-Other (specify),2512.99,Other (specify)
3101.01-Dairy products,3101.01,Dairy products
3101.02-Fertilizer processing,3101.02,Fertilizer processing
3101.03-Fertilizer utilization,3101.03,Fertilizer utilization
3101.04-Fish products,3101.04,Fish products
3101.05-Fungicides ,3101.05,Fungicides 
3101.06-Herbicides ,3101.06,Herbicides 
3101.07-Insecticides ,3101.07,Insecticides 
3101.08-Non-food crop products,3101.08,Non-food crop products
3101.09-Pesticides,3101.09,Pesticides
3101.10-Plant growth regulators ,3101.10,Plant growth regulators 
3101.99-Other (specify),3101.99,Other (specify)
3102.01-Agricultural mechanics ,3102.01,Agricultural mechanics 
3102.02-Drainage ,3102.02,Drainage 
3102.03-Farm construction ,3102.03,Farm construction 
3102.04-Farm equipment ,3102.04,Farm equipment 
3102.05-Irrigation (ver 3305.19),3102.05,Irrigation (ver 3305.19)
3102.99-Other (specify),3102.99,Other (specify)
3103.01-Crop breeding,3103.01,Crop breeding
3103.02-Crop hybridisation,3103.02,Crop hybridisation
3103.03-Crop management,3103.03,Crop management
3103.04-Crop protection,3103.04,Crop protection
3103.05-Cultural engineering,3103.05,Cultural engineering
3103.06-Field crops,3103.06,Field crops
3103.07-Forage crops,3103.07,Forage crops
3103.08-Management for plant production,3103.08,Management for plant production
3103.09-Ornamental crops,3103.09,Ornamental crops
3103.10-Pasture,3103.10,Pasture
3103.11-Seeds,3103.11,Seeds
3103.12-Soil behavior under alternative uses ,3103.12,Soil behavior under alternative uses 
3103.13-Soil fertility ,3103.13,Soil fertility 
3103.14-Turf,3103.14,Turf
3103.15-Weed control ,3103.15,Weed control 
3103.90-Plant propagation,3103.90,Plant propagation
3103.91-Combined water and fertilizer use (management),3103.91,Combined water and fertilizer use (management)
3103.99-Other (specify),3103.99,Other (specify)
3104.01-Apiculture,3104.01,Apiculture
3104.02-Bovine,3104.02,Bovine
3104.03-Breeding,3104.03,Breeding
3104.04-Care and management,3104.04,Care and management
3104.05-Equine,3104.05,Equine
3104.06-Nutrition ,3104.06,Nutrition 
3104.07-Ovine,3104.07,Ovine
3104.08-Porcine,3104.08,Porcine
3104.09-Poultry farming,3104.09,Poultry farming
3104.10-Products,3104.10,Products
3104.11-Reproduction,3104.11,Reproduction
3104.12-Selection,3104.12,Selection
3104.13-Sericulture,3104.13,Sericulture
3104.90-Livestock production system,3104.90,Livestock production system
3104.99-Other (specify),3104.99,Other (specify)
3105.01-Controls,3105.01,Controls
3105.02-Fish farming,3105.02,Fish farming
3105.03-Fish finding,3105.03,Fish finding
3105.04-Fish preservation,3105.04,Fish preservation
3105.05-Fish processing,3105.05,Fish processing
3105.06-Fishing mechanics,3105.06,Fishing mechanics
3105.07-Food habits,3105.07,Food habits
3105.08-Game,3105.08,Game
3105.09-Habitat influences,3105.09,Habitat influences
3105.10-Population dynamics,3105.10,Population dynamics
3105.11-Propagation and management,3105.11,Propagation and management
3105.12-Wild life conservation and management,3105.12,Wild life conservation and management
3105.99-Other (specify),3105.99,Other (specify)
3106.01-Conservation,3106.01,Conservation
3106.02-Cultural engineering,3106.02,Cultural engineering
3106.03-Erosion control,3106.03,Erosion control
3106.04-Management,3106.04,Management
3106.05-Products,3106.05,Products
3106.06-Protection,3106.06,Protection
3106.07-Range management,3106.07,Range management
3106.08-Sylviculture,3106.08,Sylviculture
3106.09-Watershed management,3106.09,Watershed management
3106.99-Other (specify),3106.99,Other (specify)
3107.01-Breeding,3107.01,Breeding
3107.02-Cultural engineering,3107.02,Cultural engineering
3107.03-Floriculture,3107.03,Floriculture
3107.04-Fruit,3107.04,Fruit
3107.05-Hybridisation,3107.05,Hybridisation
3107.06-Vegetables,3107.06,Vegetables
3107.99-Other (specify),3107.99,Other (specify)
3108.01-Bacteria,3108.01,Bacteria
"3108.02-Disease control, biological",3108.02,"Disease control, biological"
"3108.03-Disease control, chemical",3108.03,"Disease control, chemical"
"3108.04-Disease control, enviromental",3108.04,"Disease control, enviromental"
3108.05-Fungi ,3108.05,Fungi 
3108.06-Nematodes,3108.06,Nematodes
3108.07-Physiogenesis,3108.07,Physiogenesis
"3108.08-Plant susceptibility, resistance",3108.08,"Plant susceptibility, resistance"
3108.09-Viruses ,3108.09,Viruses 
3108.99-Other (specify),3108.99,Other (specify)
3109.01-Anatomy ,3109.01,Anatomy 
3109.02-Genetics ,3109.02,Genetics 
3109.03-Immunology ,3109.03,Immunology 
3109.04-Internal medicine ,3109.04,Internal medicine 
3109.05-Microbiology ,3109.05,Microbiology 
3109.06-Nutrition ,3109.06,Nutrition 
3109.07-Pathology ,3109.07,Pathology 
3109.08-Pharmacology ,3109.08,Pharmacology 
3109.09-Physiology ,3109.09,Physiology 
3109.10-Surgery ,3109.10,Surgery 
3109.11-Virology ,3109.11,Virology 
3109.99-Other (specify),3109.99,Other (specify)
3201.01-Cancerology ,3201.01,Cancerology 
3201.02-Clinical Genetics ,3201.02,Clinical Genetics 
3201.03-clinical microbiology ,3201.03,clinical microbiology 
3201.04-Clinical pathology,3201.04,Clinical pathology
3201.05-Clinical psychology ,3201.05,Clinical psychology 
3201.06-Dermatology,3201.06,Dermatology
3201.07-Geriatrics ,3201.07,Geriatrics 
3201.08-Gynaecology,3201.08,Gynaecology
3201.09-Ophthalmology,3201.09,Ophthalmology
3201.10-Pediatrics,3201.10,Pediatrics
3201.11-Radiology,3201.11,Radiology
3201.12-Radiotherapy ,3201.12,Radiotherapy 
3201.13-Syphilography,3201.13,Syphilography
3201.99-Other (specify),3201.99,Other (specify)
3204.01-Nuclear medicine ,3204.01,Nuclear medicine 
3204.02-Occupational diseases,3204.02,Occupational diseases
3204.03-Occupational health,3204.03,Occupational health
3204.04-Rehabilitation (medical),3204.04,Rehabilitation (medical)
3204.99-Other (specify),3204.99,Other (specify)
3205.01-Cardiology ,3205.01,Cardiology 
3205.02-Endocrinology,3205.02,Endocrinology
3205.03-Gastro-enterology,3205.03,Gastro-enterology
3205.04-Haematology ,3205.04,Haematology 
3205.05-Infectious diseases ,3205.05,Infectious diseases 
3205.06-Nephrology,3205.06,Nephrology
3205.07-Neurology,3205.07,Neurology
3205.08-Pulmonary diseases,3205.08,Pulmonary diseases
3205.09-Rheumatology,3205.09,Rheumatology
3205.99-Other (specify),3205.99,Other (specify)
3206.01-Digestion,3206.01,Digestion
3206.02-Energy metabolism,3206.02,Energy metabolism
3206.03-Natural toxicants,3206.03,Natural toxicants
3206.04-Food deficiencies,3206.04,Food deficiencies
