title,notation,label
5505-Sciences auxiliary to history,5505,Sciences auxiliary to history
5506-Specialized histories,5506,Specialized histories
5599-Other historical specialities (specify),5599,Other historical specialities (specify)
5601-Canon law ,5601,Canon law 
5602-General theory and methods,5602,General theory and methods
5603-International law,5603,International law
5604-Legal organization,5604,Legal organization
5605-National law and legislation,5605,National law and legislation
5699-Other legal specialities (specify),5699,Other legal specialities (specify)
5701-Applied linguistics,5701,Applied linguistics
5702-Diachronic linguistics,5702,Diachronic linguistics
5703-Linguistic geography ,5703,Linguistic geography 
5704-Linguistic theory,5704,Linguistic theory
5705-Synchronic linguistics,5705,Synchronic linguistics
5799-Other specialities language (specify),5799,Other specialities language (specify)
5801-Educational theory and methods,5801,Educational theory and methods
5802-Organization and planning of education,5802,Organization and planning of education
5803-Teacher training and employment,5803,Teacher training and employment
5899-Other specialities pedagogical (specify),5899,Other specialities pedagogical (specify)
5901-International relations ,5901,International relations 
5902-Policy sciences ,5902,Policy sciences 
5903-Political Ideologies ,5903,Political Ideologies 
5904-Political Institutions,5904,Political Institutions
5905-Political life,5905,Political life
5906-Political sociology,5906,Political sociology
5907-Political systems,5907,Political systems
5908-Political theory,5908,Political theory
5909-Public administration,5909,Public administration
5910-Public opinion ,5910,Public opinion 
5999-Other specialties policies (specify),5999,Other specialties policies (specify)
6101-Abnormal psychology ,6101,Abnormal psychology 
6102-Adolescent and child psychology,6102,Adolescent and child psychology
6103-Counselling and guidance ,6103,Counselling and guidance 
6104-Educational psychology,6104,Educational psychology
6105-Evaluation and measurement in psychology,6105,Evaluation and measurement in psychology
6106-Experimental psychology,6106,Experimental psychology
6107-General psychology,6107,General psychology
6108-Geriatric psychology ,6108,Geriatric psychology 
6109-Ocupational and personnel psychology,6109,Ocupational and personnel psychology
6110-Parapsychology,6110,Parapsychology
6111-Personality,6111,Personality
6112-Psychological study of social issues,6112,Psychological study of social issues
6113-Psychopharmacology ,6113,Psychopharmacology 
6114-Social psychology ,6114,Social psychology 
6199-Other psychological specialities (specify),6199,Other psychological specialities (specify)
6201-Architecture,6201,Architecture
"6202-Literary theory, analysis and criticism",6202,"Literary theory, analysis and criticism"
"6203-Fine arts theory, analysis and criticism",6203,"Fine arts theory, analysis and criticism"
6299-Other artistic specialities (specify),6299,Other artistic specialities (specify)
6301-Cultural sociology,6301,Cultural sociology
6302-Experimental sociology,6302,Experimental sociology
6303-General sociology,6303,General sociology
6304-International disorganization ,6304,International disorganization 
6305-Mathematical sociology,6305,Mathematical sociology
6306-Occupational sociology,6306,Occupational sociology
6307-Social change and development,6307,Social change and development
6308-Social communications,6308,Social communications
6309-Social groups,6309,Social groups
6310-Social problems - Social disorganization,6310,Social problems - Social disorganization
6311-Sociology of human settlements,6311,Sociology of human settlements
6399-sociological specialities Other (specify),6399,sociological specialities Other (specify)
7101-Classical ethics,7101,Classical ethics
7102-Ethics of individuals,7102,Ethics of individuals
7103-Group ethics,7103,Group ethics
7104-Prospective ethics,7104,Prospective ethics
7199-Other specialities related to ethics (specify),7199,Other specialities related to ethics (specify)
7201-Philosophy of knowledge,7201,Philosophy of knowledge
7202-Philosophical anthropology,7202,Philosophical anthropology
7203-General philosophy,7203,General philosophy
7204-Philosophical systems,7204,Philosophical systems
7205-Philosophy of science,7205,Philosophy of science
7206-Philosophy of nature,7206,Philosophy of nature
7207-Social philosophy,7207,Social philosophy
7208-philosophical doctrines,7208,philosophical doctrines
7299-Other specialities philosophical (specify),7299,Other specialities philosophical (specify)
